Year,Month,ProductName,Product_Code,Price,Lag_1,Lag_2,Predicted_Units,Recommended_Inventory,Risk
2026,4,Itipso,66,2442425.7,13093,12627.0,11927.250607755997,14909.063259694996,Stable
2026,1,Ivadin,67,8211.0,23,23.0,26.57702478677635,33.221280983470436,Overstock
2026,2,Ivadin,67,8211.0,23,23.0,166.83308882766568,208.5413610345821,Overstock
2026,3,Ivadin,67,8211.0,23,23.0,232.8897050647236,291.1121313309045,Overstock
2026,4,Ivadin,67,8211.0,23,23.0,-216.78654484538683,-270.98318105673354,Overstock
2026,1,K-1000,68,19599396.8379007,31451,30453.0,32754.623881460877,40943.2798518261,Stock-out
2026,2,K-1000,68,19599396.8379007,31451,30453.0,31195.00978908665,38993.762236358314,Stable
2026,3,K-1000,68,19599396.8379007,31451,30453.0,31261.066405323705,39076.33300665463,Stable
2026,4,K-1000,68,19599396.8379007,31451,30453.0,30708.11649774852,38385.14562218565,Stable
2026,1,K-1000 Plus,69,1580570.53440002,6290,7973.0,6263.445751018385,7829.307188772981,Overstock
2026,2,K-1000 Plus,69,1580570.53440002,6290,7973.0,6124.33419085515,7655.417738568938,Overstock
2026,3,K-1000 Plus,69,1580570.53440002,6290,7973.0,6190.390807092208,7737.98850886526,Overstock
2026,4,K-1000 Plus,69,1580570.53440002,6290,7973.0,5637.440899517019,7046.801124396274,Overstock
2026,1,Kalsob,70,34727132.7554956,55915,54243.0,57080.96137098186,71351.20171372732,Stock-out
2026,2,Kalsob,70,34727132.7554956,55915,54243.0,52176.52314805959,65220.653935074486,Stock-out
2026,3,Kalsob,70,34727132.7554956,55915,54243.0,52771.69494929396,65964.61868661745,Stock-out
2026,4,Kalsob,70,34727132.7554956,55915,54243.0,51782.79647418018,64728.49559272522,Stock-out
2026,1,Klevra,71,11550438.2309999,11641,8554.0,10932.525707607332,13665.657134509165,Stock-out
2026,2,Klevra,71,11550438.2309999,11641,8554.0,10767.454281348992,13459.317851686239,Stock-out
2026,3,Klevra,71,11550438.2309999,11641,8554.0,10833.510897586051,13541.888621982564,Stock-out
2026,4,Klevra,71,11550438.2309999,11641,8554.0,10280.560990010857,12850.701237513571,Stable
2026,1,Klevra XR,72,581265.7,1034,788.0,1063.154798734611,1328.9434984182637,Stock-out
2026,2,Klevra XR,72,581265.7,1034,788.0,924.043238571376,1155.05404821422,Stable
2026,3,Klevra XR,72,581265.7,1034,788.0,990.099854808434,1237.6248185105424,Stock-out
2026,4,Klevra XR,72,581265.7,1034,788.0,437.149947233245,546.4374340415562,Overstock
2026,1,LACTEUS 2,74,1193.25,1,1.0,36.530665927644804,45.663332409556006,Stock-out
2026,2,LACTEUS 2,74,1193.25,1,1.0,176.7867299685342,220.98341246066775,Stock-out
2026,3,LACTEUS 2,74,1193.25,1,1.0,242.84334620559213,303.55418275699014,Stock-out
